text
We facing Llm throwing issue for parallel calls in langgraph
Audio cuts out @1:01:35 ? Might just be me
Great interview Kris! Christina managed to give a peek into how Google is handling the testing problem. Also somehow to propagate the Travel Agent example meme. I don't know if it's some beef with booking companies employees but that's always the example haha
"Don't forget to get your free copy of the agentic demo app: https://zenvanriel.nl/ai-portfolio/
What kind of agents are you planning to build?"
"“Right after the Netherlands women’s 4x400 relay team, you’re officially my favourite Dutch person. Tough competition, but you made the podium.”"
"the fact is , langchain also call API at the end :D but it return to ""flatened information "" hence it will reduce token cost, and the answer is more reliabe"
"Yes, Python rules now."
Is your notebook available?
Quiero!!! - Felicitaciones por lo simple que lo haces ver para quienes queremos aprender.
Quiero !
Quiero 😉
Quiero
Quiero!
Quiero
"Thanks as always, you guys rock ❤"
Thank you for the presentation! I'm also on board with using the LangChain/LangGraph ecosystem. Do you have any recommendations for open-source observability tools that could replace LangSmith?
